"route_id","service_id","trip_id","trip_headsign","block_id","direction_id","shape_id"
"51","14905200","767583","51 EUGENE STATION","1007","1","27563"
"51","14905200","767651","51 SANTA CLARA","1011","0","27612"
"51","14905200","767652","51 EUGENE STATION","1011","1","27563"
"51","14905200","767659","51 SANTA CLARA","1012","0","27612"
"51","14905200","767660","51 EUGENE STATION","1012","1","27563"
"51","14905200","767711","51 SANTA CLARA","1015","0","27612"
"51","14905200","767712","51 EUGENE STATION","1015","1","27563"
"51","14905200","767837","51 SANTA CLARA","1023","0","27612"
"51","14905200","767838","51 EUGENE STATION","1023","1","27563"
"51","14905200","767849","51 SANTA CLARA","1024","0","27612"
"51","14905200","767850","51 EUGENE STATION","1024","1","27563"
"51","14905200","767911","51 SANTA CLARA","1029","0","27612"
"51","14905200","767912","51 EUGENE STATION","1029","1","27563"
"51","14905200","767917","51 SANTA CLARA","1029","0","27612"
"51","14905200","767918","51 EUGENE STATION","1029","1","27563"
"51","14905200","767977","51 SANTA CLARA","1035","0","27612"
"51","14905200","767978","51 EUGENE STATION","1035","1","27563"
"51","14905200","767985","51 SANTA CLARA","1037","0","27612"
"51","14905200","767986","51 EUGENE STATION","1037","1","27563"
"51","14905300","767452","51 SANTA CLARA","1","0","27612"
"51","14905300","767453","51 EUGENE STATION","1","1","27563"
"51","14905300","768042","51 SANTA CLARA","14","0","27612"
"51","14905300","768043","51 EUGENE STATION","14","1","27563"
"51","14905300","768048","51 SANTA CLARA","14","0","27612"
"51","14905300","768049","51 EUGENE STATION","14","1","27563"
"51","14905300","768076","51 SANTA CLARA","14","0","27612"
"51","14905300","768077","51 EUGENE STATION","14","1","27563"
"51","14905300","768340","51 SANTA CLARA","22","0","27612"
"51","14905300","768341","51 EUGENE STATION","22","1","27563"
"51","14905300","768350","51 SANTA CLARA","22","0","27612"
"51","14905300","768351","51 EUGENE STATION","22","1","27563"
"51","14905300","768510","51 SANTA CLARA","29","0","27612"
"51","14905300","768511","51 EUGENE STATION","29","1","27563"
"51","14905300","768514","51 SANTA CLARA","29","0","27612"
"51","14905300","768515","51 EUGENE STATION","29","1","27563"
"51","14905300","768631","51 SANTA CLARA","36","0","27612"
"51","14905300","768632","51 EUGENE STATION","36","1","27563"
"51","14905300","768635","51 SANTA CLARA","36","0","27612"
"51","14905300","768636","51 EUGENE STATION","36","1","27563"
"51","14905300","768639","51 SANTA CLARA","36","0","27612"
